min_value,max_value,avg_value,std_value,q1_value,q3_value,feature
20.0,37.0,34.26086956521739,4.720145459294641,36.0,36.0,length
2191.67,4843.48,4272.376521739131,631.6927241021174,4402.355,4541.51,molecular_weigth
-4.897,2.094,-2.5085217391304355,2.038991180004491,-3.8985,-0.9990000000000001,charge
-0.0011421533,0.00047120239999999997,-0.0005454674294807459,0.00048786787232983116,-0.00088428425,-0.00021662230000000002,charge_density
3.6884765625,9.583984375,4.52432914403913,1.3070479298433242,3.91809082035,4.2509765625,isoelectric
22.64,70.8384615385,55.8983612901,12.069521406622313,52.18993993995001,62.65,inestability
0.055555555599999994,0.2162162162,0.14067691676956523,0.03453477867269276,0.12713675215,0.15833333335,aromaticity
60.0,111.1111111111,87.8877324529261,12.360706195471709,89.4444444444,93.4722222222,aliphatic_index
0.1538461538,0.6,0.2888658606130434,0.07583579962699831,0.2777777778,0.2777777778,hydrophobic_ratio
-0.025547235,0.0538611155,0.01239547334782609,0.025241992913246008,-0.00070379785,0.0367233888,hydrophobicity_profile
-0.009227000899999999,0.0103660151,0.0022031972478260874,0.004623820522927118,-0.0005598954,0.005309344400000001,hydrophobic_profile
116.95209091993138,708.0,313.0253446768344,162.85001573228922,213.24361741509912,420.1240878636881,inhibition_IC50
