P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,P_33,P_34,P_35,P_36,P_37,P_38,P_39,P_40,P_41,P_42,P_43,P_44,P_45,P_46,P_47,P_48,P_49,P_50,P_51,P_52,P_53,P_54,P_55,P_56,response_IC50,category_IC50
159.18965000010002,-157.0851853801,88.21381988979999,-210.5435655082,159.18965000010002,159.18965000010002,-210.5435655082,159.18965000010002,261.4659950207,261.4659950207,-152.8877307969,159.18965000010002,159.18965000010002,-162.56163384479999,159.18965000010002,261.4659950207,261.4659950207,-164.8842567502,159.18965000010002,159.18965000010002,-162.56163384479999,-162.56163384479999,261.4659950207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,Class I
-35.9504727339,88.21381988979999,117.7612567961,-162.56163384479999,-164.8842567502,-48.0063898439,117.7612567961,-162.56163384479999,-164.8842567502,159.18965000010002,159.18965000010002,261.4659950207,192.94023502009998,130.6981718092,192.94023502009998,192.94023502009998,159.18965000010002,261.4659950207,130.6981718092,159.18965000010002,192.94023502009998,159.18965000010002,-162.56163384479999,-162.56163384479999,159.18965000010002,-162.56163384479999,146.1079480732,261.4659950207,-210.5435655082,-18.0339242413,117.7612567961,-162.56163384479999,-210.5435655082,130.6981718092,-210.5435655082,-228.1156424909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708.0,Class III
146.1079480732,122.4443130635,159.18965000010002,-164.8842567502,130.6981718092,130.6981718092,-35.9504727339,88.21381988979999,117.7612567961,-162.56163384479999,-164.8842567502,-48.0063898439,117.7612567961,-162.56163384479999,-164.8842567502,159.18965000010002,159.18965000010002,117.7612567961,192.94023502009998,130.6981718092,192.94023502009998,192.94023502009998,159.18965000010002,261.4659950207,130.6981718092,159.18965000010002,192.94023502009998,159.18965000010002,-162.56163384479999,-162.56163384479999,159.18965000010002,-162.56163384479999,146.1079480732,261.4659950207,-210.5435655082,-18.0339242413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5057920728,Class II
-164.8842567502,261.4659950207,261.4659950207,159.18965000010002,-164.8842567502,159.18965000010002,-18.0339242413,-164.8842567502,261.4659950207,261.4659950207,159.18965000010002,192.94023502009998,159.18965000010002,-18.0339242413,-164.8842567502,261.4659950207,261.4659950207,261.4659950207,-164.8842567502,159.18965000010002,-18.0339242413,-164.8842567502,159.18965000010002,261.4659950207,159.18965000010002,-164.8842567502,159.18965000010002,-18.0339242413,192.94023502009998,192.94023502009998,-48.0063898439,-162.56163384479999,-162.56163384479999,192.94023502009998,-162.56163384479999,88.21381988979999,-152.8877307969,-210.5435655082,42.3902652002,-164.8842567502,261.4659950207,192.94023502009998,-162.56163384479999,192.94023502009998,-18.0339242413,122.4443130635,-164.8842567502,-162.56163384479999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,Class II
-35.9504727339,88.21381988979999,117.7612567961,-162.56163384479999,-164.8842567502,-48.0063898439,117.7612567961,-162.56163384479999,-164.8842567502,159.18965000010002,159.18965000010002,117.7612567961,192.94023502009998,130.6981718092,192.94023502009998,192.94023502009998,159.18965000010002,261.4659950207,130.6981718092,159.18965000010002,192.94023502009998,159.18965000010002,-162.56163384479999,-162.56163384479999,159.18965000010002,-162.56163384479999,146.1079480732,261.4659950207,82.0763918785,-18.0339242413,117.7612567961,-162.56163384479999,-210.5435655082,130.6981718092,-210.5435655082,-228.1156424909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.9520909199,Class III
-210.5435655082,-157.0851853801,159.18965000010002,-210.5435655082,146.1079480732,122.4443130635,159.18965000010002,-164.8842567502,130.6981718092,130.6981718092,-35.9504727339,88.21381988979999,117.7612567961,-162.56163384479999,-164.8842567502,-48.0063898439,117.7612567961,-162.56163384479999,-164.8842567502,159.18965000010002,159.18965000010002,-162.56163384479999,192.94023502009998,130.6981718092,-164.8842567502,192.94023502009998,159.18965000010002,261.4659950207,130.6981718092,159.18965000010002,192.94023502009998,159.18965000010002,-162.56163384479999,-162.56163384479999,159.18965000010002,-162.56163384479999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,Class II
-162.56163384479999,159.18965000010002,-18.0339242413,-164.8842567502,82.0763918785,-157.0851853801,117.7612567961,-164.8842567502,82.0763918785,82.0763918785,159.18965000010002,-152.8877307969,-228.1156424909,-228.1156424909,130.6981718092,261.4659950207,82.0763918785,-228.1156424909,-152.8877307969,-228.1156424909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,Class III
-35.9504727339,88.21381988979999,117.7612567961,-162.56163384479999,-164.8842567502,-48.0063898439,117.7612567961,-162.56163384479999,-164.8842567502,159.18965000010002,159.18965000010002,159.18965000010002,192.94023502009998,130.6981718092,192.94023502009998,192.94023502009998,159.18965000010002,261.4659950207,130.6981718092,159.18965000010002,192.94023502009998,159.18965000010002,-162.56163384479999,-162.56163384479999,159.18965000010002,-162.56163384479999,146.1079480732,261.4659950207,-210.5435655082,-18.0339242413,117.7612567961,-162.56163384479999,-210.5435655082,130.6981718092,-210.5435655082,-228.1156424909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,Class III
-35.9504727339,88.21381988979999,117.7612567961,-162.56163384479999,-164.8842567502,-48.0063898439,117.7612567961,-162.56163384479999,-164.8842567502,159.18965000010002,159.18965000010002,-228.1156424909,192.94023502009998,130.6981718092,192.94023502009998,192.94023502009998,159.18965000010002,261.4659950207,130.6981718092,159.18965000010002,192.94023502009998,159.18965000010002,-162.56163384479999,-162.56163384479999,159.18965000010002,-162.56163384479999,146.1079480732,261.4659950207,-210.5435655082,-18.0339242413,117.7612567961,-162.56163384479999,-210.5435655082,130.6981718092,-210.5435655082,-228.1156424909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,Class I
-35.9504727339,88.21381988979999,117.7612567961,-162.56163384479999,-164.8842567502,-48.0063898439,117.7612567961,-162.56163384479999,-164.8842567502,159.18965000010002,159.18965000010002,117.7612567961,192.94023502009998,130.6981718092,192.94023502009998,192.94023502009998,159.18965000010002,261.4659950207,130.6981718092,192.94023502009998,192.94023502009998,159.18965000010002,-162.56163384479999,-162.56163384479999,192.94023502009998,-162.56163384479999,146.1079480732,261.4659950207,-210.5435655082,-18.0339242413,117.7612567961,-162.56163384479999,-210.5435655082,130.6981718092,-210.5435655082,-228.1156424909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.590239416900001,Class II
