P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,P_33,P_34,P_35,P_36,P_37,P_38,P_39,P_40,P_41,P_42,P_43,P_44,P_45,P_46,P_47,P_48,P_49,P_50,P_51,P_52,P_53,P_54,P_55,P_56,response_IC50,category_IC50
56.5878320803,-22.5265486432,-7.1141851352,5.1241321474,56.5878320803,56.5878320803,5.1241321474,56.5878320803,92.72641287260001,92.72641287260001,-29.191406019499997,56.5878320803,56.5878320803,-31.3588522737,56.5878320803,92.72641287260001,92.72641287260001,-3.0063077407999996,56.5878320803,56.5878320803,-31.3588522737,-31.3588522737,92.72641287260001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,Class I
-32.7449139688,-7.1141851352,-19.0098097532,-31.3588522737,-3.0063077407999996,18.454596385,-19.0098097532,-31.3588522737,-3.0063077407999996,56.5878320803,56.5878320803,92.72641287260001,15.4617591874,7.0263816566,15.4617591874,15.4617591874,56.5878320803,92.72641287260001,7.0263816566,56.5878320803,15.4617591874,56.5878320803,-31.3588522737,-31.3588522737,56.5878320803,-31.3588522737,-18.9928070625,92.72641287260001,5.1241321474,-75.4267005452,-19.0098097532,-31.3588522737,5.1241321474,7.0263816566,5.1241321474,-25.466695337199997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708.0,Class III
-18.9928070625,124.84967903459999,56.5878320803,-3.0063077407999996,7.0263816566,7.0263816566,-32.7449139688,-7.1141851352,-19.0098097532,-31.3588522737,-3.0063077407999996,18.454596385,-19.0098097532,-31.3588522737,-3.0063077407999996,56.5878320803,56.5878320803,-19.0098097532,15.4617591874,7.0263816566,15.4617591874,15.4617591874,56.5878320803,92.72641287260001,7.0263816566,56.5878320803,15.4617591874,56.5878320803,-31.3588522737,-31.3588522737,56.5878320803,-31.3588522737,-18.9928070625,92.72641287260001,5.1241321474,-75.4267005452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5057920728,Class II
-3.0063077407999996,92.72641287260001,92.72641287260001,56.5878320803,-3.0063077407999996,56.5878320803,-75.4267005452,-3.0063077407999996,92.72641287260001,92.72641287260001,56.5878320803,15.4617591874,56.5878320803,-75.4267005452,-3.0063077407999996,92.72641287260001,92.72641287260001,92.72641287260001,-3.0063077407999996,56.5878320803,-75.4267005452,-3.0063077407999996,56.5878320803,92.72641287260001,56.5878320803,-3.0063077407999996,56.5878320803,-75.4267005452,15.4617591874,15.4617591874,18.454596385,-31.3588522737,-31.3588522737,15.4617591874,-31.3588522737,-7.1141851352,-29.191406019499997,5.1241321474,-93.37590750049999,-3.0063077407999996,92.72641287260001,15.4617591874,-31.3588522737,15.4617591874,-75.4267005452,124.84967903459999,-3.0063077407999996,-31.3588522737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,Class II
-32.7449139688,-7.1141851352,-19.0098097532,-31.3588522737,-3.0063077407999996,18.454596385,-19.0098097532,-31.3588522737,-3.0063077407999996,56.5878320803,56.5878320803,-19.0098097532,15.4617591874,7.0263816566,15.4617591874,15.4617591874,56.5878320803,92.72641287260001,7.0263816566,56.5878320803,15.4617591874,56.5878320803,-31.3588522737,-31.3588522737,56.5878320803,-31.3588522737,-18.9928070625,92.72641287260001,-9.900944575599999,-75.4267005452,-19.0098097532,-31.3588522737,5.1241321474,7.0263816566,5.1241321474,-25.466695337199997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.9520909199,Class III
5.1241321474,-22.5265486432,56.5878320803,5.1241321474,-18.9928070625,124.84967903459999,56.5878320803,-3.0063077407999996,7.0263816566,7.0263816566,-32.7449139688,-7.1141851352,-19.0098097532,-31.3588522737,-3.0063077407999996,18.454596385,-19.0098097532,-31.3588522737,-3.0063077407999996,56.5878320803,56.5878320803,-31.3588522737,15.4617591874,7.0263816566,-3.0063077407999996,15.4617591874,56.5878320803,92.72641287260001,7.0263816566,56.5878320803,15.4617591874,56.5878320803,-31.3588522737,-31.3588522737,56.5878320803,-31.3588522737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,Class II
-31.3588522737,56.5878320803,-75.4267005452,-3.0063077407999996,-9.900944575599999,-22.5265486432,-19.0098097532,-3.0063077407999996,-9.900944575599999,-9.900944575599999,56.5878320803,-29.191406019499997,-25.466695337199997,-25.466695337199997,7.0263816566,92.72641287260001,-9.900944575599999,-25.466695337199997,-29.191406019499997,-25.466695337199997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,Class III
-32.7449139688,-7.1141851352,-19.0098097532,-31.3588522737,-3.0063077407999996,18.454596385,-19.0098097532,-31.3588522737,-3.0063077407999996,56.5878320803,56.5878320803,56.5878320803,15.4617591874,7.0263816566,15.4617591874,15.4617591874,56.5878320803,92.72641287260001,7.0263816566,56.5878320803,15.4617591874,56.5878320803,-31.3588522737,-31.3588522737,56.5878320803,-31.3588522737,-18.9928070625,92.72641287260001,5.1241321474,-75.4267005452,-19.0098097532,-31.3588522737,5.1241321474,7.0263816566,5.1241321474,-25.466695337199997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,Class III
-32.7449139688,-7.1141851352,-19.0098097532,-31.3588522737,-3.0063077407999996,18.454596385,-19.0098097532,-31.3588522737,-3.0063077407999996,56.5878320803,56.5878320803,-25.466695337199997,15.4617591874,7.0263816566,15.4617591874,15.4617591874,56.5878320803,92.72641287260001,7.0263816566,56.5878320803,15.4617591874,56.5878320803,-31.3588522737,-31.3588522737,56.5878320803,-31.3588522737,-18.9928070625,92.72641287260001,5.1241321474,-75.4267005452,-19.0098097532,-31.3588522737,5.1241321474,7.0263816566,5.1241321474,-25.466695337199997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,Class I
-32.7449139688,-7.1141851352,-19.0098097532,-31.3588522737,-3.0063077407999996,18.454596385,-19.0098097532,-31.3588522737,-3.0063077407999996,56.5878320803,56.5878320803,-19.0098097532,15.4617591874,7.0263816566,15.4617591874,15.4617591874,56.5878320803,92.72641287260001,7.0263816566,15.4617591874,15.4617591874,56.5878320803,-31.3588522737,-31.3588522737,15.4617591874,-31.3588522737,-18.9928070625,92.72641287260001,5.1241321474,-75.4267005452,-19.0098097532,-31.3588522737,5.1241321474,7.0263816566,5.1241321474,-25.466695337199997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.590239416900001,Class II
