feature,mean_value,var_value,std_value,min_value,max_value,q1_value,q3_value
inhibition_IC50,6041.081421590882,639569385.5893068,25289.709084710856,0.0686217773497812,237000.0,1.6,479.8702072422619
length,32.84297520661157,59.727409329963805,7.7283510097538795,8.0,56.0,30.25,36.0
molecular_weigth,4032.8245416666673,971374.2385172904,985.5831971565315,1108.26,7156.89,3700.9325,4489.147500000002
charge,-1948.236008264463,5657050.8143465305,2378.4555523167824,-6894.0,3125.0,-3898.0,-0.999
charge_density,-0.0005021958800095564,4.444236624273169e-07,0.0006666510799716122,-0.0020658902457917675,0.002879610612497539,-0.0009216921724757917,-0.00020897533965036772
isoelectric,459.83353745641784,2928037.219415927,1711.1508464819597,3.46435546875,7125.0,3.96337890625,4.657958984375
inestability,572.6897664948408,23023718.26070284,4798.303685752168,-6.83,52825.0,52.444924242424236,67.71666666666665
aromaticity,2.902025885333673,376.40752437177775,19.401224816278425,0.023809523809523808,175.0,0.08333333333333333,0.1388888888888889
aliphatic_index,685.4436777141076,43729328.23069371,6612.815454153678,16.249999999999996,73125.0,72.7519379844961,92.0
hydrophobic_ratio,2.9820490390835084,884.8005402723527,29.745596989678198,0.13793103448275862,375.0,0.2352941176470588,0.3404761904761905
hydrophobicity_profile,0.5475201790276609,72.30113233267281,8.503007252300376,-0.1937551020408164,132.0,-0.015897184642387645,0.005846938775510202
hydrophobic_profile,-0.003805364179244957,0.0002550715174000123,0.01597095856234097,-0.10136108015097334,0.09359394979658307,-0.011578973043208457,0.002611040829808559
