min_value,max_value,avg_value,std_value,q1_value,q3_value,feature
21.0,36.0,34.0,4.847679857416329,36.0,36.0,length
2639.0,4619.21,4246.6375,585.2155951431489,4356.505,4529.0075,molecular_weigth
-4.897,2.094,-2.488350000000001,2.054169449558629,-3.9225000000000003,-0.9990000000000001,charge
-0.0011421533,0.00047120239999999997,-0.0005501111875774242,0.00047796558306622313,-0.00089290965,-0.00021679810000000001,charge_density
3.6884765625,9.583984375,4.50668945314,1.3465571389039286,3.940734863325,4.2509765625,isoelectric
28.0095238095,70.8384615385,57.091288156295,10.837313545561019,49.600694444475,63.5763888889,inestability
0.055555555599999994,0.19444444440000005,0.13949938951000002,0.03151714944379414,0.1388888889,0.14880952385,aromaticity
60.0,111.1111111111,89.70634920632502,10.639705154508869,89.4444444444,92.15277777775,aliphatic_index
0.1538461538,0.3611111111,0.2807081807199999,0.0361356801806806,0.2777777778,0.279761904775,hydrophobic_ratio
-0.0154279358,0.0538611155,0.01798519504,0.023151649663027667,0.002809134775,0.044285634850000005,hydrophobicity_profile
-0.009227000899999999,0.0103660151,0.0024546849800000004,0.004414425136633671,-0.00046928879999999994,0.005010574050000001,hydrophobic_profile
116.95209091993138,708.0,297.7280857858808,156.19652977893773,214.86542612264867,370.0620439318441,inhibition_IC50
